ID_Paquete,Cliente,Ciudad_Destino,Peso_kg,Volumen_m3,Deposito_Origen,Ruta,Km_Total,Num_Paradas
140,Martín Alcalá Pombo,Manizales,57.2,1.04,Ibague,Ibague -> Manizales,163.0,1
141,Natividad Barros-Figueras,Pasto,19.41,2.64,Bogota,Bogota -> Cali -> Pasto,844.0,2
142,Josué Arco Martorell,Bogotá,58.99,0.56,,NO EXISTE EN GRAFO,,0
143,Esperanza Tapia,Pereira,79.96,2.57,Pereira,Pereira,0.0,0
144,Dalila Balaguer-Téllez,Ibagué,16.78,1.55,,NO EXISTE EN GRAFO,,0
145,Hugo Mur Vazquez,Barranquilla,9.34,1.76,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
146,Maricela Luisina Cal Company,Villavicencio,64.91,1.54,Bogota,Bogota -> Villavicencio,123.0,1
147,Amanda Castilla González,Medellín,45.69,1.93,,NO EXISTE EN GRAFO,,0
148,Leyre Débora Nicolau Coronado,Barranquilla,63.01,0.4,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
149,Javier Arana Merino,Neiva,37.68,1.54,Ibague,Ibague -> Neiva,211.0,1
150,Adora Valcárcel Flor,Medellín,17.62,2.75,,NO EXISTE EN GRAFO,,0
151,Andrea Bárcena Bejarano,Cartagena,74.6,0.96,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
152,Almudena de Mur,Armenia,25.72,1.58,Ibague,Ibague -> Armenia,5.4,1
153,Edgardo Ángel Navarrete,Manizales,57.5,1.94,Ibague,Ibague -> Manizales,163.0,1
154,Paloma Patricia Carballo Egea,Tunja,54.46,0.3,Bogota,Bogota -> Tunja,139.0,1
155,Manolo Iñiguez Mármol,Barranquilla,18.62,0.87,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
156,Dionisia Gascón Berrocal,Barranquilla,41.9,2.04,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
157,Luis Valcárcel Lago,Manizales,40.74,1.58,Ibague,Ibague -> Manizales,163.0,1
158,Dulce Porras-Rosa,Medellín,53.91,2.26,,NO EXISTE EN GRAFO,,0
159,Florina Paredes Garmendia,Tunja,11.54,0.04,Bogota,Bogota -> Tunja,139.0,1
160,Clímaco Andreu,Manizales,36.36,2.09,Ibague,Ibague -> Manizales,163.0,1
161,Jeremías Galan-Macías,Ibagué,51.58,1.59,,NO EXISTE EN GRAFO,,0
162,Maricruz Alondra Salinas Puig,Pasto,75.16,1.95,Bogota,Bogota -> Cali -> Pasto,844.0,2
163,Néstor Palacios Madrid,Cartagena,0.43,0.32,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
164,Olga Pujadas Ureña,Barranquilla,58.36,2.85,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
165,Arturo Sastre Ibáñez,Ibagué,62.12,2.95,,NO EXISTE EN GRAFO,,0
166,Pepe Gil Arellano,Pasto,58.35,2.95,Bogota,Bogota -> Cali -> Pasto,844.0,2
167,Jose Miguel Andreu Bayo,Pasto,52.58,0.63,Bogota,Bogota -> Cali -> Pasto,844.0,2
168,Purificación Montenegro Trujillo,Bogotá,39.09,0.22,,NO EXISTE EN GRAFO,,0
169,José María Segura Moll,Pereira,25.58,1.15,Pereira,Pereira,0.0,0
170,África García Canet,Cali,23.51,1.52,Bogota,Bogota -> Cali,458.0,1
171,Vito Rodríguez Duarte,Barranquilla,17.86,2.52,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
172,Alejo Acedo Naranjo,Barranquilla,49.8,1.91,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
173,Saturnina Carreño-Rueda,Bogotá,71.85,2.74,,NO EXISTE EN GRAFO,,0
174,Kike Báez Giner,Armenia,52.04,2.25,Ibague,Ibague -> Armenia,5.4,1
175,Jacobo Murillo Seguí,Bucaramanga,23.98,0.35,Bucaramanga,Bucaramanga,0.0,0
176,Apolinar Villar-Bello,Bogotá,69.89,1.13,,NO EXISTE EN GRAFO,,0
177,María Ángeles Almansa Carreño,Manizales,56.66,1.01,Ibague,Ibague -> Manizales,163.0,1
178,Rafael Ayala Grande,Cartagena,65.62,1.95,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
179,Jordana Molina Jordá,Ibagué,53.63,0.29,,NO EXISTE EN GRAFO,,0
180,Anita Amat Moreno,Villavicencio,6.23,0.5,Bogota,Bogota -> Villavicencio,123.0,1
181,Apolonia de Salamanca,Pereira,69.48,2.8,Pereira,Pereira,0.0,0
182,Édgar del Riba,Bogotá,37.39,1.46,,NO EXISTE EN GRAFO,,0
183,Tadeo del Grande,Ibagué,2.14,1.27,,NO EXISTE EN GRAFO,,0
184,Fátima Andrés Río,Medellín,60.51,1.23,,NO EXISTE EN GRAFO,,0
185,Belen Bayona Soto,Tunja,61.97,1.81,Bogota,Bogota -> Tunja,139.0,1
186,Leocadia Puga Carretero,Manizales,68.92,1.06,Ibague,Ibague -> Manizales,163.0,1
187,Lidia Oller Montenegro,Cartagena,37.29,1.07,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
188,Mateo de Amor,Armenia,76.32,1.71,Ibague,Ibague -> Armenia,5.4,1
189,Alondra Marta Perales Cáceres,Barranquilla,54.68,2.7,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
190,Epifanio Eligio Tejedor Ugarte,Manizales,20.64,1.49,Ibague,Ibague -> Manizales,163.0,1
191,Hernando Sáenz Quesada,Pereira,63.17,0.94,Pereira,Pereira,0.0,0
192,Candelario Vendrell Agustí,Cartagena,34.51,0.82,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
193,Isaías Márquez Guzmán,Bucaramanga,24.9,2.36,Bucaramanga,Bucaramanga,0.0,0
194,Flor Gisbert Villalobos,Pereira,44.99,1.44,Pereira,Pereira,0.0,0
195,Leonardo Beltrán Guzman,Bogotá,18.53,2.37,,NO EXISTE EN GRAFO,,0
196,Elpidio Cuesta Malo,Santa Marta,71.03,1.69,,NO EXISTE EN GRAFO,,0
197,Vito Ferreras Palomar,Armenia,7.88,1.91,Ibague,Ibague -> Armenia,5.4,1
198,Delfina Arévalo Rodriguez,Pereira,6.49,1.83,Pereira,Pereira,0.0,0
199,Alonso Pont-Garcés,Manizales,41.5,2.19,Ibague,Ibague -> Manizales,163.0,1
200,Diego Esparza,Barranquilla,39.65,1.74,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
201,Juan Francisco del Benet,Cali,78.07,1.11,Bogota,Bogota -> Cali,458.0,1
202,Seve Granados Ariño,Barranquilla,6.19,0.14,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
203,Francisco Jose Muro-Cabo,Bucaramanga,48.04,2.12,Bucaramanga,Bucaramanga,0.0,0
204,Salud Batlle Amorós,Pasto,45.2,2.33,Bogota,Bogota -> Cali -> Pasto,844.0,2
205,Arturo Mendez Bolaños,Tunja,4.3,0.08,Bogota,Bogota -> Tunja,139.0,1
206,Dulce Herranz Priego,Pereira,54.74,2.59,Pereira,Pereira,0.0,0
207,Toño Gelabert Solera,Tunja,77.29,0.51,Bogota,Bogota -> Tunja,139.0,1
208,Fabricio Carnero Salas,Armenia,19.98,2.24,Ibague,Ibague -> Armenia,5.4,1
209,Bruno Armengol Llabrés,Villavicencio,78.9,1.41,Bogota,Bogota -> Villavicencio,123.0,1
210,Roberta Barreda,Medellín,33.23,1.89,,NO EXISTE EN GRAFO,,0
211,Obdulia Antúnez Cuervo,Ibagué,32.41,1.5,,NO EXISTE EN GRAFO,,0
212,Joaquín Lucas Franch España,Manizales,12.28,0.48,Ibague,Ibague -> Manizales,163.0,1
213,Teo del Aguirre,Santa Marta,62.9,2.34,,NO EXISTE EN GRAFO,,0
214,Amparo Molins Maldonado,Villavicencio,10.58,2.83,Bogota,Bogota -> Villavicencio,123.0,1
215,Azahar Lladó Mayo,Tunja,63.14,2.79,Bogota,Bogota -> Tunja,139.0,1
216,Custodia Galvez Calderón,Bucaramanga,69.47,2.83,Bucaramanga,Bucaramanga,0.0,0
217,Natividad Eusebia Navas Zapata,Bogotá,42.08,1.65,,NO EXISTE EN GRAFO,,0
218,Vidal Gascón Cabezas,Neiva,30.45,1.52,Ibague,Ibague -> Neiva,211.0,1
219,Jordana Barriga Dalmau,Bucaramanga,66.47,0.9,Bucaramanga,Bucaramanga,0.0,0
220,Ángeles Gil Casanovas,Pasto,36.45,2.6,Bogota,Bogota -> Cali -> Pasto,844.0,2
221,Adelina Laguna Llopis,Villavicencio,10.75,0.05,Bogota,Bogota -> Villavicencio,123.0,1
222,Yaiza Mateo Montesinos,Villavicencio,13.72,1.25,Bogota,Bogota -> Villavicencio,123.0,1
223,Roque Ortuño Rivero,Pereira,57.46,1.34,Pereira,Pereira,0.0,0
224,Felicidad Sarmiento Castro,Neiva,43.62,0.39,Ibague,Ibague -> Neiva,211.0,1
225,Brunilda del Bayón,Medellín,33.09,1.33,,NO EXISTE EN GRAFO,,0
226,Jimena Benavent-Mate,Villavicencio,29.84,0.17,Bogota,Bogota -> Villavicencio,123.0,1
227,Marta Martínez Cabañas,Ibagué,9.47,2.22,,NO EXISTE EN GRAFO,,0
228,Ana Belén Guijarro Escobar,Barranquilla,13.21,1.8,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
229,Cayetano Royo Guerrero,Tunja,24.74,2.83,Bogota,Bogota -> Tunja,139.0,1
230,Agustina Font Blazquez,Cali,37.06,2.36,Bogota,Bogota -> Cali,458.0,1
231,Isaías Bustamante Jaén,Manizales,26.11,1.63,Ibague,Ibague -> Manizales,163.0,1
232,Ximena Paniagua Nicolás,Villavicencio,12.32,1.63,Bogota,Bogota -> Villavicencio,123.0,1
233,Tere de Azcona,Pasto,46.49,0.69,Bogota,Bogota -> Cali -> Pasto,844.0,2
234,Anselma Morán,Medellín,21.31,1.45,,NO EXISTE EN GRAFO,,0
235,Juliana de Almeida,Medellín,38.21,2.83,,NO EXISTE EN GRAFO,,0
236,Efraín Gámez Lladó,Neiva,30.32,0.36,Ibague,Ibague -> Neiva,211.0,1
237,Nazario Josué Ramis Barral,Villavicencio,64.35,0.18,Bogota,Bogota -> Villavicencio,123.0,1
238,Blanca Soria-Real,Pereira,64.19,0.63,Pereira,Pereira,0.0,0
239,Consuelo Gilabert Barba,Santa Marta,57.39,1.15,,NO EXISTE EN GRAFO,,0
240,Agustín Haroldo Zabaleta Montero,Santa Marta,5.17,0.12,,NO EXISTE EN GRAFO,,0
241,Manolo Miró-Reina,Pereira,36.76,2.61,Pereira,Pereira,0.0,0
242,Lara Dora Velasco Reyes,Pereira,60.58,0.4,Pereira,Pereira,0.0,0
243,Antonio Vilalta,Pasto,61.9,2.04,Bogota,Bogota -> Cali -> Pasto,844.0,2
244,Fabián Alemán Catalá,Tunja,25.24,2.23,Bogota,Bogota -> Tunja,139.0,1
245,Judith del Muro,Armenia,64.0,2.62,Ibague,Ibague -> Armenia,5.4,1
246,Clarisa Egea Rovira,Barranquilla,79.94,0.22,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
247,Fernanda Donaire Llorens,Ibagué,30.26,0.1,,NO EXISTE EN GRAFO,,0
248,Martirio Loreto Revilla Salom,Neiva,68.78,1.84,Ibague,Ibague -> Neiva,211.0,1
249,Adora del Trillo,Santa Marta,15.98,0.31,,NO EXISTE EN GRAFO,,0
250,Paulino Maestre,Tunja,73.17,1.07,Bogota,Bogota -> Tunja,139.0,1
251,Obdulia Rosa Sevillano Samper,Tunja,9.4,0.22,Bogota,Bogota -> Tunja,139.0,1
252,María Belén de Paredes,Cali,22.35,1.0,Bogota,Bogota -> Cali,458.0,1
253,Clímaco Morell,Armenia,54.77,2.38,Ibague,Ibague -> Armenia,5.4,1
254,Hernando Torres-Gilabert,Bogotá,37.32,2.26,,NO EXISTE EN GRAFO,,0
255,Gustavo Samper Gámez,Tunja,70.08,1.56,Bogota,Bogota -> Tunja,139.0,1
256,Isaías Peña Donaire,Ibagué,32.9,1.49,,NO EXISTE EN GRAFO,,0
257,Martin Mendizábal Tenorio,Pasto,13.86,2.93,Bogota,Bogota -> Cali -> Pasto,844.0,2
258,Soledad Valderrama Gómez,Manizales,46.29,0.68,Ibague,Ibague -> Manizales,163.0,1
259,Jimena Clavero,Tunja,51.34,1.79,Bogota,Bogota -> Tunja,139.0,1
260,Benito del Escribano,Medellín,18.77,1.25,,NO EXISTE EN GRAFO,,0
261,Luisa Almeida Guillen,Cartagena,77.74,0.98,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
262,Ildefonso de Soria,Medellín,41.79,1.02,,NO EXISTE EN GRAFO,,0
263,Emma Mármol Alberdi,Barranquilla,77.3,2.53,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
264,Antonio Villalobos Diaz,Villavicencio,50.27,1.25,Bogota,Bogota -> Villavicencio,123.0,1
265,Ema Baquero Tomas,Pereira,41.73,1.44,Pereira,Pereira,0.0,0
266,Prudencio Palacios Benavent,Santa Marta,28.52,1.36,,NO EXISTE EN GRAFO,,0
267,Graciano Salgado-Maldonado,Manizales,77.27,0.59,Ibague,Ibague -> Manizales,163.0,1
268,Luciana Checa Montaña,Tunja,57.32,0.54,Bogota,Bogota -> Tunja,139.0,1
269,Mirta de Ariño,Armenia,17.97,2.81,Ibague,Ibague -> Armenia,5.4,1
270,Miguel Castelló Fajardo,Medellín,32.24,0.12,,NO EXISTE EN GRAFO,,0
271,Maximiano Fuster Reyes,Cali,4.05,1.39,Bogota,Bogota -> Cali,458.0,1
272,Narciso Galvez Ferrero,Cartagena,55.1,0.91,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
273,Montserrat Benavent Ayllón,Cartagena,16.33,1.79,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
274,Amor Colom Durán,Pasto,45.15,1.81,Bogota,Bogota -> Cali -> Pasto,844.0,2
