ID_Paquete,Cliente,Ciudad_Destino,Ciudad_Válida,Latitud,Longitud,Peso_kg,Volumen_Paquete_m3,Dirección
29,Josefa Javiera Andrade Sandoval,Armenia,True,4.634468,-75.738136,11.05,1.87,"Calle 74 #22-86, Armenia, Quindío, Colombia"
30,Emperatriz Alfaro Baena,Pereira,True,4.798746,-75.758322,28.45,2.85,"Calle 70 #17-6, Pereira, Risaralda, Colombia"
31,Purificación Torrents-Montoya,Villavicencio,True,4.251249,-73.794711,40.16,1.26,"Calle 2 #21-8, Villavicencio, Meta, Colombia"
32,Benjamín Valdés Bermejo,Santa Marta,True,11.195968,-74.094418,12.49,0.56,"Calle 84 #78-69, Santa Marta, Magdalena, Colombia"
33,Tatiana Gelabert Román,Barranquilla,True,11.059765,-74.879057,39.58,0.56,"Calle 15 #94-38, Barranquilla, Atlántico, Colombia"
34,Trinidad Carrasco,Ibagué,True,4.483529,-75.147848,64.47,0.83,"Calle 41 #51-29, Ibagué, Tolima, Colombia"
35,Omar Arias Galiano,Pasto,True,1.147563,-77.314267,70.59,1.31,"Calle 88 #70-51, Pasto, Nariño, Colombia"
36,Ágata Giménez Verdugo,Barranquilla,True,11.090012,-74.881234,32.01,1.18,"Calle 58 #3-10, Barranquilla, Atlántico, Colombia"
37,Gilberto Castells-Poza,Pereira,True,4.716462,-75.73663,47.97,0.77,"Calle 50 #48-94, Pereira, Risaralda, Colombia"
38,Eutimio Maza,Pereira,True,4.878118,-75.704151,26.35,0.18,"Calle 69 #16-37, Pereira, Risaralda, Colombia"
39,Nando Bueno Carro,Barranquilla,True,10.978865,-74.762412,77.61,1.39,"Calle 50 #42-25, Barranquilla, Atlántico, Colombia"
40,Maximiano Valentín Bautista Castañeda,Villavicencio,True,4.192724,-73.663626,67.39,0.86,"Calle 74 #54-80, Villavicencio, Meta, Colombia"
41,Isaac del Mármol,Barranquilla,True,11.006889,-74.883833,78.63,1.66,"Calle 74 #59-82, Barranquilla, Atlántico, Colombia"
42,Amaro del Guillen,Pereira,True,4.84,-75.650535,60.22,1.19,"Calle 95 #36-69, Pereira, Risaralda, Colombia"
43,Berta Casas Pol,Pereira,True,4.859336,-75.631619,68.58,2.28,"Calle 21 #4-82, Pereira, Risaralda, Colombia"
44,Juan Luis Valera Blasco,Pasto,True,1.195907,-77.390992,20.67,0.88,"Calle 60 #98-81, Pasto, Nariño, Colombia"
45,Rafa Bernal Egea,Tunja,True,5.496951,-73.469379,78.74,0.78,"Calle 87 #96-20, Tunja, Boyacá, Colombia"
46,Florina Gibert Blanch,Ibagué,True,4.426124,-75.187322,46.7,2.12,"Calle 115 #71-26, Ibagué, Tolima, Colombia"
47,Armida Olivera Jódar,Bogotá,True,4.573748,-74.074293,53.58,1.87,"Calle 114 #35-93, Bogotá, Cundinamarca, Colombia"
48,Carmela Batlle Calderon,Pereira,True,4.761677,-75.796371,53.58,0.95,"Calle 90 #76-90, Pereira, Risaralda, Colombia"
49,Olimpia Torre-Cózar,Armenia,True,4.414638,-75.653137,44.78,1.31,"Calle 46 #4-17, Armenia, Quindío, Colombia"
50,Jose Angel del Saez,Cali,True,3.453083,-76.506505,47.37,0.31,"Calle 105 #70-91, Cali, Valle del Cauca, Colombia"
51,Calisto Rueda Bertrán,Ibagué,True,4.335667,-75.206605,45.69,0.03,"Calle 108 #99-16, Ibagué, Tolima, Colombia"
52,Francisco López Valenciano,Bogotá,True,4.592706,-74.115869,37.94,1.43,"Calle 16 #11-17, Bogotá, Cundinamarca, Colombia"
53,Felipe Luz Comas,Bogotá,True,4.741337,-74.158461,74.14,1.14,"Calle 116 #95-4, Bogotá, Cundinamarca, Colombia"
54,Amada Escribano,Villavicencio,True,4.148149,-73.555252,20.94,0.97,"Calle 44 #58-93, Villavicencio, Meta, Colombia"
55,Martina Gras-Verdugo,Bogotá,True,4.511406,-74.030425,75.6,0.5,"Calle 21 #15-92, Bogotá, Cundinamarca, Colombia"
56,Balduino Matas-Espada,Cartagena,True,10.388074,-75.523801,0.41,2.42,"Calle 79 #46-39, Cartagena, Bolívar, Colombia"
57,Petrona de Belda,Bucaramanga,True,7.143773,-73.026214,2.41,2.05,"Calle 8 #14-32, Bucaramanga, Santander, Colombia"
58,Emiliano Méndez Barrios,Bogotá,True,4.692382,-74.160459,77.29,1.9,"Calle 59 #32-90, Bogotá, Cundinamarca, Colombia"
59,Victorino Llano Garriga,Bogotá,True,4.676898,-74.046752,54.88,2.28,"Calle 90 #59-35, Bogotá, Cundinamarca, Colombia"
60,Celestina Portillo,Santa Marta,True,11.199453,-74.178613,57.99,1.54,"Calle 14 #64-48, Santa Marta, Magdalena, Colombia"
61,Eladio Gálvez Barros,Barranquilla,True,10.971971,-74.805014,76.83,0.37,"Calle 106 #46-67, Barranquilla, Atlántico, Colombia"
62,Rómulo Ureña Beltrán,Manizales,True,5.147539,-75.578882,73.35,0.54,"Calle 55 #71-73, Manizales, Caldas, Colombia"
63,Benito Vélez-Zurita,Armenia,True,4.66481,-75.619842,44.65,2.29,"Calle 112 #25-68, Armenia, Quindío, Colombia"
64,César Álvarez Arnaiz,Ibagué,True,4.408451,-75.261785,31.68,1.16,"Calle 61 #99-77, Ibagué, Tolima, Colombia"
65,Amada de Aragón,Ibagué,True,4.405953,-75.100807,28.56,0.29,"Calle 66 #5-13, Ibagué, Tolima, Colombia"
66,Edu García Anaya,Ibagué,True,4.49374,-75.204479,66.75,0.26,"Calle 62 #61-17, Ibagué, Tolima, Colombia"
67,Palmira Calatayud Giménez,Armenia,True,4.637468,-75.506214,45.03,0.21,"Calle 51 #44-11, Armenia, Quindío, Colombia"
68,Jose Ramón Pla,Cali,True,3.302308,-76.575295,22.48,2.36,"Calle 117 #96-7, Cali, Valle del Cauca, Colombia"
69,Graciano Bertrán Coll,Armenia,True,4.511193,-75.526695,66.4,1.84,"Calle 105 #25-92, Armenia, Quindío, Colombia"
70,Gerardo Alemán Borrell,Bogotá,True,4.551375,-74.004466,44.84,2.02,"Calle 67 #51-8, Bogotá, Cundinamarca, Colombia"
71,Gema Vargas-Yáñez,Santa Marta,True,11.275711,-74.066832,22.75,2.68,"Calle 50 #22-69, Santa Marta, Magdalena, Colombia"
72,Angélica Menéndez-Arribas,Manizales,True,5.183628,-75.574152,48.83,2.07,"Calle 72 #88-99, Manizales, Caldas, Colombia"
73,Gustavo Pascual Vizcaíno,Bogotá,True,4.575339,-74.030342,48.16,0.27,"Calle 103 #83-97, Bogotá, Cundinamarca, Colombia"
74,Silvia Mariscal,Santa Marta,True,11.269119,-74.069612,79.01,0.84,"Calle 116 #29-18, Santa Marta, Magdalena, Colombia"
75,Nicodemo del Ferrera,Barranquilla,True,10.971625,-74.743007,9.39,1.77,"Calle 16 #99-80, Barranquilla, Atlántico, Colombia"
76,Nereida Gil Burgos,Bogotá,True,4.753956,-74.122135,21.87,1.05,"Calle 21 #19-45, Bogotá, Cundinamarca, Colombia"
77,Herminio Iborra,Barranquilla,True,10.972305,-74.8545,41.51,0.44,"Calle 45 #6-68, Barranquilla, Atlántico, Colombia"
78,Clemente Novoa Vizcaíno,Manizales,True,5.07093,-75.588078,38.55,0.32,"Calle 108 #61-22, Manizales, Caldas, Colombia"
79,Juanito Amo Belda,Santa Marta,True,11.143081,-74.169765,73.17,1.1,"Calle 100 #18-16, Santa Marta, Magdalena, Colombia"
80,Modesto Noriega Figueroa,Bogotá,True,4.763135,-74.017151,65.94,2.08,"Calle 110 #7-28, Bogotá, Cundinamarca, Colombia"
81,Gonzalo Echevarría Lluch,Manizales,True,5.122163,-75.434426,33.73,1.83,"Calle 22 #97-25, Manizales, Caldas, Colombia"
82,Bienvenida Aliaga Madrid,Medellín,True,6.203545,-75.5921,44.86,1.95,"Calle 101 #57-8, Medellín, Antioquia, Colombia"
83,Cayetana Boix,Barranquilla,True,10.99092,-74.814098,41.93,0.36,"Calle 52 #92-18, Barranquilla, Atlántico, Colombia"
84,León Agullo Barriga,Manizales,True,5.088395,-75.526637,39.15,1.81,"Calle 34 #42-32, Manizales, Caldas, Colombia"
85,Clementina Vicens Roura,Ibagué,True,4.49394,-75.237313,60.5,2.5,"Calle 79 #89-44, Ibagué, Tolima, Colombia"
86,Ariel Carolina Giner Pazos,Pereira,True,4.735097,-75.733101,79.69,2.57,"Calle 87 #51-93, Pereira, Risaralda, Colombia"
87,Calista Campillo Feliu,Pereira,True,4.881206,-75.787099,8.02,0.08,"Calle 58 #70-56, Pereira, Risaralda, Colombia"
88,Aura Torrijos Navarro,Cartagena,True,10.367693,-75.490899,51.43,1.59,"Calle 103 #45-66, Cartagena, Bolívar, Colombia"
89,Pacífica de Molins,Santa Marta,True,11.129372,-74.043529,17.66,0.94,"Calle 28 #62-11, Santa Marta, Magdalena, Colombia"
90,Leonel del Durán,Barranquilla,True,11.038781,-74.782842,46.49,1.73,"Calle 13 #52-84, Barranquilla, Atlántico, Colombia"
91,Rico Borja Escamilla,Armenia,True,4.698363,-75.632588,75.07,1.73,"Calle 120 #53-31, Armenia, Quindío, Colombia"
92,Aitana Mariscal Chaparro,Barranquilla,True,10.90927,-74.770379,63.52,0.79,"Calle 112 #3-87, Barranquilla, Atlántico, Colombia"
93,Graciano Bernat,Bogotá,True,4.672134,-74.06695,39.49,2.14,"Calle 77 #62-73, Bogotá, Cundinamarca, Colombia"
94,Salomé Sureda Mateos,Cali,True,3.460052,-76.509475,61.83,1.65,"Calle 44 #41-51, Cali, Valle del Cauca, Colombia"
95,Mario Jerez,Tunja,True,5.583584,-73.419563,56.46,0.8,"Calle 59 #47-87, Tunja, Boyacá, Colombia"
96,Alejandra Vicente Oliveras,Pereira,True,4.87462,-75.659518,13.32,1.99,"Calle 41 #57-62, Pereira, Risaralda, Colombia"
97,Claudio Leonel Cervantes Lopez,Neiva,True,2.938504,-75.220712,16.86,0.27,"Calle 79 #57-18, Neiva, Huila, Colombia"
98,Sergio Artigas Sabater,Armenia,True,4.667204,-75.763609,47.04,0.06,"Calle 44 #8-19, Armenia, Quindío, Colombia"
99,Jeremías Nieto Jordán,Medellín,True,6.107265,-75.66593,18.17,2.98,"Calle 14 #56-98, Medellín, Antioquia, Colombia"
100,Rosa María Casanova-Iñiguez,Ibagué,True,4.479886,-75.140195,43.01,1.87,"Calle 4 #4-7, Ibagué, Tolima, Colombia"
101,Salvador Codina Mulet,Santa Marta,True,11.128533,-74.106237,79.3,2.1,"Calle 33 #20-68, Santa Marta, Magdalena, Colombia"
102,Arturo Jáuregui Albero,Santa Marta,True,11.224621,-74.171074,50.92,2.36,"Calle 36 #95-63, Santa Marta, Magdalena, Colombia"
103,Jose Ramón Sandalio Oller Salas,Tunja,True,5.560818,-73.476023,68.04,0.68,"Calle 26 #15-41, Tunja, Boyacá, Colombia"
104,Baudelio Marti-Valls,Pereira,True,4.737053,-75.640165,49.24,1.34,"Calle 61 #43-65, Pereira, Risaralda, Colombia"
105,Lidia Cervera Valero,Tunja,True,5.565211,-73.334391,30.51,0.24,"Calle 114 #11-61, Tunja, Boyacá, Colombia"
106,Juana Adoración Roda Vallés,Pasto,True,1.143936,-77.245185,21.25,2.68,"Calle 112 #16-58, Pasto, Nariño, Colombia"
107,Carina del Torralba,Bogotá,True,4.728547,-74.197262,2.04,1.82,"Calle 118 #68-66, Bogotá, Cundinamarca, Colombia"
108,Felix Mariño Roca,Cartagena,True,10.367611,-75.532667,3.39,1.32,"Calle 3 #69-82, Cartagena, Bolívar, Colombia"
109,Bruno Duran Acedo,Santa Marta,True,11.113131,-74.006406,13.25,1.89,"Calle 78 #81-11, Santa Marta, Magdalena, Colombia"
110,Hernando del Galan,Tunja,True,5.586181,-73.432572,27.25,2.44,"Calle 97 #32-27, Tunja, Boyacá, Colombia"
111,Magdalena Pedrosa Tapia,Villavicencio,True,4.247249,-73.590966,66.52,2.79,"Calle 68 #6-94, Villavicencio, Meta, Colombia"
112,Cristóbal Pomares Olmedo,Barranquilla,True,10.922826,-74.899459,38.6,0.06,"Calle 79 #59-65, Barranquilla, Atlántico, Colombia"
113,Noemí Murcia Moraleda,Bogotá,True,4.708152,-74.039261,32.55,0.76,"Calle 37 #38-39, Bogotá, Cundinamarca, Colombia"
114,Antonia Recio Campoy,Ibagué,True,4.332212,-75.123715,51.58,0.52,"Calle 8 #14-23, Ibagué, Tolima, Colombia"
115,Curro Villar Grau,Cali,True,3.395366,-76.580887,71.22,1.2,"Calle 104 #19-9, Cali, Valle del Cauca, Colombia"
116,Maxi Riquelme-Vives,Manizales,True,5.104241,-75.530165,78.74,1.36,"Calle 61 #91-45, Manizales, Caldas, Colombia"
117,Hilda del Garay,Cartagena,True,10.358122,-75.544593,34.41,2.28,"Calle 90 #72-45, Cartagena, Bolívar, Colombia"
118,Casemiro Miguel Carpio,Tunja,True,5.57937,-73.227192,36.47,2.35,"Calle 39 #70-23, Tunja, Boyacá, Colombia"
119,Brígida Vara Aguirre,Santa Marta,True,11.166534,-74.121431,45.96,0.42,"Calle 74 #3-9, Santa Marta, Magdalena, Colombia"
120,Mar Palomino Piquer,Armenia,True,4.683718,-75.514172,24.75,2.69,"Calle 73 #18-14, Armenia, Quindío, Colombia"
121,Rocío Adadia-Hervás,Pereira,True,4.826791,-75.71169,44.24,0.53,"Calle 4 #90-73, Pereira, Risaralda, Colombia"
122,Omar Valderrama Palma,Cali,True,3.483028,-76.484502,26.77,0.94,"Calle 79 #73-40, Cali, Valle del Cauca, Colombia"
123,Gilberto Losa Machado,Medellín,True,6.274657,-75.674949,57.69,0.78,"Calle 50 #93-66, Medellín, Antioquia, Colombia"
124,Dorotea Sánchez Ángel,Medellín,True,6.107125,-75.626585,26.93,1.88,"Calle 3 #99-51, Medellín, Antioquia, Colombia"
125,Candela Nogueira-Manzano,Cali,True,3.416316,-76.410566,32.59,0.63,"Calle 82 #51-30, Cali, Valle del Cauca, Colombia"
126,Fabián Eloy Cerezo Soto,Bogotá,True,4.778563,-74.190255,32.36,1.84,"Calle 21 #57-33, Bogotá, Cundinamarca, Colombia"
127,Ana Sofía Sacristán Cases,Ibagué,True,4.431925,-75.11711,33.94,2.76,"Calle 55 #75-10, Ibagué, Tolima, Colombia"
128,Sara Alberola,Manizales,True,5.078103,-75.513706,45.53,0.35,"Calle 16 #18-15, Manizales, Caldas, Colombia"
129,Amor Salom Alonso,Cali,True,3.428945,-76.549897,64.71,1.37,"Calle 50 #31-79, Cali, Valle del Cauca, Colombia"
130,Carmelo Rivas Vilaplana,Pasto,True,1.255656,-77.313237,15.75,2.16,"Calle 64 #37-4, Pasto, Nariño, Colombia"
131,Xiomara Fabiola Rodríguez Pino,Cali,True,3.496349,-76.587332,52.21,1.46,"Calle 107 #87-16, Cali, Valle del Cauca, Colombia"
132,Áurea Perez Almagro,Ibagué,True,4.485459,-75.165533,44.76,0.95,"Calle 73 #84-50, Ibagué, Tolima, Colombia"
133,Paloma Gabaldón Calvet,Pasto,True,1.1389,-77.364835,3.81,2.5,"Calle 26 #26-15, Pasto, Nariño, Colombia"
134,Mateo Alonso Morera Romero,Villavicencio,True,4.243996,-73.507538,54.53,2.92,"Calle 6 #11-95, Villavicencio, Meta, Colombia"
135,Rosenda Acedo Carballo,Pereira,True,4.733247,-75.738697,47.55,0.51,"Calle 57 #24-43, Pereira, Risaralda, Colombia"
136,María Cristina Arenas Echevarría,Cartagena,True,10.474031,-75.551198,55.75,0.66,"Calle 85 #49-80, Cartagena, Bolívar, Colombia"
137,Guadalupe Fabregat,Bucaramanga,True,7.145736,-73.123793,35.93,1.94,"Calle 65 #32-89, Bucaramanga, Santander, Colombia"
138,Enrique Losa Mancebo,Villavicencio,True,4.063972,-73.779794,29.52,1.18,"Calle 106 #91-78, Villavicencio, Meta, Colombia"
139,Andrés Felipe Carnero Coloma,Santa Marta,True,11.223842,-74.149992,39.48,1.17,"Calle 49 #55-18, Santa Marta, Magdalena, Colombia"
140,Martín Alcalá Pombo,Manizales,True,5.152505,-75.425796,57.2,1.04,"Calle 48 #30-24, Manizales, Caldas, Colombia"
141,Natividad Barros-Figueras,Pasto,True,1.280201,-77.216708,19.41,2.64,"Calle 17 #55-61, Pasto, Nariño, Colombia"
142,Josué Arco Martorell,Bogotá,True,4.751099,-74.103161,58.99,0.56,"Calle 45 #70-35, Bogotá, Cundinamarca, Colombia"
143,Esperanza Tapia,Pereira,True,4.736665,-75.778713,79.96,2.57,"Calle 111 #22-63, Pereira, Risaralda, Colombia"
144,Dalila Balaguer-Téllez,Ibagué,True,4.463404,-75.255616,16.78,1.55,"Calle 86 #80-53, Ibagué, Tolima, Colombia"
145,Hugo Mur Vazquez,Barranquilla,True,10.920492,-74.708529,9.34,1.76,"Calle 118 #52-91, Barranquilla, Atlántico, Colombia"
146,Maricela Luisina Cal Company,Villavicencio,True,4.244981,-73.541322,64.91,1.54,"Calle 100 #66-60, Villavicencio, Meta, Colombia"
147,Amanda Castilla González,Medellín,True,6.145877,-75.572545,45.69,1.93,"Calle 71 #86-90, Medellín, Antioquia, Colombia"
148,Leyre Débora Nicolau Coronado,Barranquilla,True,10.906766,-74.807073,63.01,0.4,"Calle 120 #66-68, Barranquilla, Atlántico, Colombia"
149,Javier Arana Merino,Neiva,True,2.90128,-75.334036,37.68,1.54,"Calle 26 #93-63, Neiva, Huila, Colombia"
150,Adora Valcárcel Flor,Medellín,True,6.278726,-75.657128,17.62,2.75,"Calle 83 #75-93, Medellín, Antioquia, Colombia"
151,Andrea Bárcena Bejarano,Cartagena,True,10.343274,-75.403986,74.6,0.96,"Calle 81 #31-73, Cartagena, Bolívar, Colombia"
152,Almudena de Mur,Armenia,True,4.493571,-75.781536,25.72,1.58,"Calle 19 #89-83, Armenia, Quindío, Colombia"
153,Edgardo Ángel Navarrete,Manizales,True,5.058154,-75.582056,57.5,1.94,"Calle 39 #90-6, Manizales, Caldas, Colombia"
154,Paloma Patricia Carballo Egea,Tunja,True,5.530245,-73.325608,54.46,0.3,"Calle 42 #8-46, Tunja, Boyacá, Colombia"
155,Manolo Iñiguez Mármol,Barranquilla,True,10.916842,-74.814802,18.62,0.87,"Calle 97 #68-85, Barranquilla, Atlántico, Colombia"
156,Dionisia Gascón Berrocal,Barranquilla,True,10.956969,-74.765904,41.9,2.04,"Calle 21 #32-81, Barranquilla, Atlántico, Colombia"
157,Luis Valcárcel Lago,Manizales,True,5.028951,-75.51765,40.74,1.58,"Calle 49 #38-72, Manizales, Caldas, Colombia"
158,Dulce Porras-Rosa,Medellín,True,6.325505,-75.677138,53.91,2.26,"Calle 102 #28-5, Medellín, Antioquia, Colombia"
159,Florina Paredes Garmendia,Tunja,True,5.448629,-73.355626,11.54,0.04,"Calle 89 #67-54, Tunja, Boyacá, Colombia"
160,Clímaco Andreu,Manizales,True,5.136376,-75.561576,36.36,2.09,"Calle 100 #62-72, Manizales, Caldas, Colombia"
161,Jeremías Galan-Macías,Ibagué,True,4.412158,-75.154755,51.58,1.59,"Calle 32 #78-79, Ibagué, Tolima, Colombia"
162,Maricruz Alondra Salinas Puig,Pasto,True,1.191262,-77.167382,75.16,1.95,"Calle 56 #89-49, Pasto, Nariño, Colombia"
163,Néstor Palacios Madrid,Cartagena,True,10.393282,-75.513222,0.43,0.32,"Calle 87 #4-33, Cartagena, Bolívar, Colombia"
164,Olga Pujadas Ureña,Barranquilla,True,10.971329,-74.812735,58.36,2.85,"Calle 66 #16-28, Barranquilla, Atlántico, Colombia"
165,Arturo Sastre Ibáñez,Ibagué,True,4.368355,-75.238297,62.12,2.95,"Calle 48 #63-32, Ibagué, Tolima, Colombia"
166,Pepe Gil Arellano,Pasto,True,1.162582,-77.12418,58.35,2.95,"Calle 76 #34-51, Pasto, Nariño, Colombia"
167,Jose Miguel Andreu Bayo,Pasto,True,1.154038,-77.242229,52.58,0.63,"Calle 81 #43-52, Pasto, Nariño, Colombia"
168,Purificación Montenegro Trujillo,Bogotá,True,4.777755,-74.085889,39.09,0.22,"Calle 41 #70-89, Bogotá, Cundinamarca, Colombia"
169,José María Segura Moll,Pereira,True,4.710203,-75.797197,25.58,1.15,"Calle 76 #5-45, Pereira, Risaralda, Colombia"
170,África García Canet,Cali,True,3.360888,-76.517441,23.51,1.52,"Calle 35 #97-79, Cali, Valle del Cauca, Colombia"
171,Vito Rodríguez Duarte,Barranquilla,True,11.06873,-74.82977,17.86,2.52,"Calle 109 #23-12, Barranquilla, Atlántico, Colombia"
172,Alejo Acedo Naranjo,Barranquilla,True,10.982391,-74.717426,49.8,1.91,"Calle 12 #44-1, Barranquilla, Atlántico, Colombia"
173,Saturnina Carreño-Rueda,Bogotá,True,4.596112,-74.155641,71.85,2.74,"Calle 83 #84-58, Bogotá, Cundinamarca, Colombia"
174,Kike Báez Giner,Armenia,True,4.569482,-75.691018,52.04,2.25,"Calle 89 #90-64, Armenia, Quindío, Colombia"
175,Jacobo Murillo Seguí,Bucaramanga,True,7.121514,-73.162097,23.98,0.35,"Calle 14 #29-19, Bucaramanga, Santander, Colombia"
176,Apolinar Villar-Bello,Bogotá,True,4.55772,-74.045857,69.89,1.13,"Calle 19 #39-78, Bogotá, Cundinamarca, Colombia"
177,María Ángeles Almansa Carreño,Manizales,True,5.120876,-75.565658,56.66,1.01,"Calle 70 #69-8, Manizales, Caldas, Colombia"
178,Rafael Ayala Grande,Cartagena,True,10.460177,-75.441181,65.62,1.95,"Calle 102 #97-33, Cartagena, Bolívar, Colombia"
179,Jordana Molina Jordá,Ibagué,True,4.303567,-75.258344,53.63,0.29,"Calle 113 #15-89, Ibagué, Tolima, Colombia"
180,Anita Amat Moreno,Villavicencio,True,4.139848,-73.508109,6.23,0.5,"Calle 67 #35-82, Villavicencio, Meta, Colombia"
181,Apolonia de Salamanca,Pereira,True,4.770336,-75.765676,69.48,2.8,"Calle 102 #87-63, Pereira, Risaralda, Colombia"
182,Édgar del Riba,Bogotá,True,4.779478,-74.05837,37.39,1.46,"Calle 8 #83-5, Bogotá, Cundinamarca, Colombia"
183,Tadeo del Grande,Ibagué,True,4.490283,-75.218197,2.14,1.27,"Calle 73 #4-58, Ibagué, Tolima, Colombia"
184,Fátima Andrés Río,Medellín,True,6.123393,-75.52525,60.51,1.23,"Calle 100 #33-64, Medellín, Antioquia, Colombia"
185,Belen Bayona Soto,Tunja,True,5.411225,-73.443499,61.97,1.81,"Calle 20 #83-62, Tunja, Boyacá, Colombia"
186,Leocadia Puga Carretero,Manizales,True,5.113603,-75.418716,68.92,1.06,"Calle 93 #44-14, Manizales, Caldas, Colombia"
187,Lidia Oller Montenegro,Cartagena,True,10.486142,-75.571208,37.29,1.07,"Calle 50 #31-63, Cartagena, Bolívar, Colombia"
188,Mateo de Amor,Armenia,True,4.594367,-75.551404,76.32,1.71,"Calle 93 #57-99, Armenia, Quindío, Colombia"
189,Alondra Marta Perales Cáceres,Barranquilla,True,11.095913,-74.737918,54.68,2.7,"Calle 75 #91-17, Barranquilla, Atlántico, Colombia"
190,Epifanio Eligio Tejedor Ugarte,Manizales,True,5.07599,-75.584012,20.64,1.49,"Calle 42 #59-5, Manizales, Caldas, Colombia"
191,Hernando Sáenz Quesada,Pereira,True,4.751122,-75.611425,63.17,0.94,"Calle 94 #28-92, Pereira, Risaralda, Colombia"
192,Candelario Vendrell Agustí,Cartagena,True,10.423177,-75.513174,34.51,0.82,"Calle 28 #21-89, Cartagena, Bolívar, Colombia"
193,Isaías Márquez Guzmán,Bucaramanga,True,7.196686,-73.074702,24.9,2.36,"Calle 74 #62-71, Bucaramanga, Santander, Colombia"
194,Flor Gisbert Villalobos,Pereira,True,4.750643,-75.708414,44.99,1.44,"Calle 4 #59-81, Pereira, Risaralda, Colombia"
